category,address_raw,address_processed,address_reversed,longitude,latitude
AI-generated Address,"789 Taft Ave., Barangay Malate, Manila","789 Taft Avenue, Barangay Malate, Manila","Taft Avenue, Barangay 678, Barangay 694, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9896565,14.5737742
AI-generated Address,"789 Taft Ave., Barangay Malate, Manila","789 Taft Avenue, Barangay Malate, Manila.","Taft Avenue, Barangay 678, Barangay 694, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9896565,14.5737742
AI-generated Address,"Blk 7, Lot 23, Jasmine St., Brgy. San Francisco, General Trias, Cavite","Jasmine Street, San Francisco, General Trias, Cavite","Jasmine Street, Asian Leaf, San Francisco, General Trias, Cavite, Calabarzon, 4107, Pilipinas",120.9270769,14.2974075
AI-generated Address,"55 Ipil St., Brgy. Poblacion, Davao City","55 Ipil Street, Barangay Poblacion, Davao City.","Ipil Street, Garden Heights, 19-B Garcia Heights, Poblacion, Davao City, Davao Region, 8000, Pilipinas",125.6066848,7.0918863
AI-generated Address,"55 Ipil St., Brgy. Poblacion, Davao City","55 Ipil Street, Barangay Poblacion, Davao City","Ipil Street, Garden Heights, 19-B Garcia Heights, Poblacion, Davao City, Davao Region, 8000, Pilipinas",125.6066848,7.0918863
AI-generated Address,"55 Ipil St., Brgy. Poblacion, Davao City","Ipil Street, Barangay Poblacion, Davao City","Ipil Street, Garden Heights, 19-B Garcia Heights, Poblacion, Davao City, Davao Region, 8000, Pilipinas",125.6061297,7.0919313
AI-generated Address,"12 J.P. Rizal St., Brgy. Poblacion, Makati City","12 J.P. Rizal Street, Poblacion, Makati City","Jose P. Rizal Avenue, Bel-Air Village Phase I and II, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0310891,14.5675641
AI-generated Address,"123 Alabang Zapote Road, Alabang, Muntinlupa City","123 Alabang Zapote Road, Alabang, Muntinlupa City","Alabang-Zapote Road, Filinvest City, Muntinlupa, Southern Manila District, Metro Manila, 1781, Pilipinas",121.0423282,14.4206007
AI-generated Address,"123 Alabang Zapote Road, Alabang, Muntinlupa City","Alabang Zapote Road, Alabang, Muntinlupa City","Alabang-Zapote Road, Filinvest City, Muntinlupa, Southern Manila District, Metro Manila, 1781, Pilipinas",121.0423282,14.4206007
AI-generated Address,"789 J.P. Rizal Street, Guadalupe Viejo, Makati City","789 Jose P. Rizal Street, Guadalupe Viejo, Makati City","Jose P. Rizal Avenue, Guadalupe Viejo, District II, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0377245,14.5669769
AI-generated Address,"789 J.P. Rizal Street, Guadalupe Viejo, Makati City","789 J.P. Rizal Street, Guadalupe Viejo, Makati City","Jose P. Rizal Avenue, Guadalupe Viejo, District II, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0377245,14.5669769
AI-generated Address,"741 Quezon Avenue, Sto. Domingo, Quezon City","741 Quezon Avenue, Santo Domingo, Quezon City","Quezon Avenue, Santo Domingo, 1st District, Quezon City, Eastern Manila District, Metro Manila, 1114, Pilipinas",121.0147063,14.6297882
AI-generated Address,"369 Governor Camins Avenue, Sta. Maria, Zamboanga City","369 Governor Camins Avenue, Santa Maria, Zamboanga City","Governor Camins Avenue, Zone Ⅱ, Santa Maria, Zamboanga City, Zamboanga Peninsula, 7000, Pilipinas",122.0723781,6.9211004
AI-generated Address,"789 Taft Avenue, Barangay Malate, Manila City, Metro Manila, Philippines","789 Taft Avenue, Barangay Malate, Manila City, Metro Manila, Philippines","Taft Avenue, Barangay 678, Barangay 694, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9896565,14.5737742
AI-generated Address,"789 Taft Avenue, Barangay Malate, Manila City, Metro Manila, Philippines","Taft Avenue, Barangay Malate, City of Manila, Metro Manila, Philippines.","Taft Avenue, Barangay 678, Barangay 694, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9896565,14.5737742
AI-generated Address,"789 Taft Avenue, Barangay Malate, Manila City, Metro Manila, Philippines","789 Taft Avenue, Barangay Malate, City of Manila, Metro Manila, Philippines","Taft Avenue, Barangay 678, Barangay 694, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9896565,14.5737742
AI-generated Address,"1619 Roxas Boulevard, Barangay Malate, Manila City, Metro Manila, Philippines","1619 Roxas Boulevard, Barangay Malate, Manila, Philippines.","Roxas Boulevard, Barangay 76, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9873512,14.5588583
